image_file,image_id,role,word,surface,s_det,n_instances,n_patches,patch_frac,outside_crop,leak_max,seg,ell,ell_masked,delta,delta_lo,delta_ins,delta_lo_ins,delta_ctrl,delta_lo_ctrl,conf_drop_pct,mu_hat,sigma_hat,tau,decision,gt_label,outcome
COCO_val2014_000000144305.jpg,144305,candidate,laptop,laptop computer,0.6024,1,358,0.6215,0,0.000e+00,sam,-0.30435,-3.78480,3.48045,2.90625,3.22239,2.62500,0.59149,-0.03125,96.921,-0.74133,1.03005,0.28872,VERIFIED,REAL,TN
COCO_val2014_000000144305.jpg,144305,candidate,tv,monitor,0.6386,1,207,0.3594,0,0.000e+00,sam,-13.92544,-15.05373,1.12829,-0.65625,6.44905,3.68750,4.18828,0.35938,67.641,-0.74133,1.03005,0.28872,VERIFIED,HALLUCINATED,FN
COCO_val2014_000000144305.jpg,144305,candidate,keyboard,keyboard,0.3915,1,115,0.1997,0,0.000e+00,sam,-6.98403,-7.32614,0.34211,4.18750,4.49709,2.28125,0.20939,3.64063,28.973,-0.74133,1.03005,0.28872,VERIFIED,REAL,TN
COCO_val2014_000000144305.jpg,144305,candidate,mouse,mouse,0.3086,2,399,0.6927,0,0.000e+00,sam,-9.88247,-8.40280,-1.47967,-0.48438,-0.93805,-0.23438,0.45154,-0.39062,-339.149,-0.74133,1.03005,0.28872,HALLUCINATED,HALLUCINATED,TP
COCO_val2014_000000144305.jpg,144305,candidate,dining table,desk,0.2186,1,179,0.3108,0,0.000e+00,sam,-5.46067,-4.82787,-0.63279,1.46875,0.37150,2.98438,-0.75326,1.56250,-88.286,-0.74133,1.03005,0.28872,HALLUCINATED,REAL,FP
COCO_val2014_000000144305.jpg,144305,candidate,cell phone,cell phone,0.2753,1,45,0.0781,0,0.000e+00,sam,-4.21151,-4.24435,0.03283,1.21875,1.28304,3.56250,0.22922,1.31250,3.230,-0.74133,1.03005,0.28872,HALLUCINATED,HALLUCINATED,TP
COCO_val2014_000000144305.jpg,144305,candidate,computer,computer,0.4553,1,358,0.6215,0,0.000e+00,sam,-2.05435,-1.62015,-0.43420,1.60938,0.08817,1.45313,1.00695,0.62500,-54.372,-0.74133,1.03005,0.28872,HALLUCINATED,UNKNOWN,TN
COCO_val2014_000000144305.jpg,144305,candidate,phone,phone,0.2422,1,398,0.6910,0,0.000e+00,sam,-12.19497,-9.36893,-2.82604,0.03125,-2.81834,-0.42188,0.14630,-0.79687,-1587.856,-0.74133,1.03005,0.28872,HALLUCINATED,UNKNOWN,TN
COCO_val2014_000000144305.jpg,144305,probe,fire hydrant,,0.1031,1,399,0.6927,0,0.000e+00,sam,-5.33634,-3.94222,-1.39412,-0.18750,-0.83793,0.31250,-0.71305,-0.53125,-303.144,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,vase,,0.1180,1,202,0.3507,0,0.000e+00,sam,-8.63165,-7.91450,-0.71715,0.14063,1.43395,3.20313,0.77838,0.29688,-104.859,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,toaster,,0.1935,1,45,0.0781,0,0.000e+00,sam,-4.96911,-5.17092,0.20182,0.51562,-0.03984,2.98437,0.10557,0.48437,18.276,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,frisbee,,0.1484,1,199,0.3455,0,0.000e+00,sam,-3.97725,-3.62082,-0.35642,1.79687,-0.22219,5.21875,-0.29866,3.29687,-42.821,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,toothbrush,,0.1096,1,45,0.0781,0,0.000e+00,sam,-3.17720,-3.16471,-0.01249,-0.09375,0.50224,4.48437,0.23190,-0.20313,-1.257,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,knife,,0.1756,1,382,0.6632,0,0.000e+00,sam,-9.19645,-6.52666,-2.66979,0.01562,-2.20571,0.40625,0.31883,0.48438,-1343.699,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,,,0.0656,1,203,0.3524,0,0.000e+00,sam,-11.19497,-10.97436,-0.22061,-0.09375,1.55857,0.14062,0.97837,-0.37500,-24.683,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,potted plant,,0.0804,1,62,0.1076,0,0.000e+00,sam,-5.86703,-5.83960,-0.02743,0.00000,3.12275,1.42188,0.06079,-0.04687,-2.781,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,parking meter,,0.0831,1,202,0.3507,0,0.000e+00,sam,-5.58432,-5.23714,-0.34718,0.10938,0.03425,3.09375,0.07832,0.12500,-41.507,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,baseball bat,,0.1634,1,397,0.6892,0,0.000e+00,sam,-7.72021,-6.94330,-0.77691,0.39063,-0.54918,0.98437,1.37603,2.35938,-117.474,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,stop sign,,0.1059,1,202,0.3507,0,0.000e+00,sam,-7.17271,-6.51951,-0.65320,0.23438,0.08477,2.95313,-0.21751,0.28125,-92.168,-0.74133,1.03005,0.28872,,GT_ABSENT,
COCO_val2014_000000144305.jpg,144305,probe,microwave,,0.1801,1,376,0.6528,0,0.000e+00,sam,-3.64544,-2.48392,-1.16152,-0.50000,-1.05415,-0.07812,-0.08439,0.40625,-219.478,-0.74133,1.03005,0.28872,,GT_ABSENT,
